hash_id	1-10	2-15	2-20	2-3	2-5	3-3	4-25	FOREST	GRASSLAND	NA-R2	NA-R3	QR-R1	QR-R2	QR-R3	QR.R1	QR.R2	QR.R3	QR1-10	QR1-105	QR1-20	QR1-200	QR1-350	QR1-500	QR1-75	QR2	QR2-10	QR2-108	QR2-20	QR2-250	QR2-380	QR2-550	QR2-60	QR3	QR3-10	QR3-20	QR3-200	QR3-210	QR3-365	QR3-565	QR3-90	SC1-10	SC1-15	SC1-2	SC1-20	SC1-25	SC1-3	SC1-30	SC1-35	SC1-4	SC1-40	SC1-45	SC1-5	SC2-1	SC2-10	SC2-2	SC2-25	SC2-30	SC2-35A	SC2-35D	SC2-4	SC2-40	SC2-45	SC3-1	SC3-10	SC3-15	SC3-2	SC3-20	SC3-25	SC3-25star	SC3-3	SC3-30	SC3-35	SC3-4	SC3-40	SC3-45	SC3-5	SC3-50	SC4-1	SC4-10	SC4-15	SC4-2	SC4-20	SC4-25	SC4-3	SC4-30	SC4-35	SC4-4	SC4-40	SC4-45	SC4-5	SC4-50	VEG-STOCKPILE
7fa09557ce836616fdcb28ac2f39736d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1922	0	0	0	0	0	0	6428	0
1db7eafbd42acdd91408455a19e18225	0	0	0	0	0	0	0	0	0	0	0	959	0	12452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
df1583bb5a333d87970d792398123108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	54	94	667	0	13	0	0	0	0	5	0	0	64	0	0	4745	10	504	8121	801	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
159e843129ecc145d23c64ee8c870912	1818	2067	0	0	2961	1472	1862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	578	0	0	0	0	0	369	0	0	0	0	0	0	297	0	0	0	0	0	429	0	0	0	0	401	0
4a90e63476782a5b716b9ba72168608e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10581	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b8136b5e97440ab2de51be858705d4e9	254	693	72	380	308	611	156	0	0	0	0	0	328	0	219	0	0	146	0	77	0	0	0	53	0	0	0	0	0	0	0	0	0	24	0	18	0	0	0	0	86	46	0	61	103	159	150	125	155	286	178	148	86	198	156	45	101	167	0	335	75	282	195	201	257	226	220	65	91	345	258	52	199	115	91	232	58	187	108	118	247	18	0	98	125	139	247	220	65	128	182	0
3765821d1e16da369f7bcfc648720347	0	0	0	0	0	0	0	0	0	0	87	320	928	1399	734	587	0	849	296	908	0	0	0	0	0	590	0	1126	0	0	0	0	0	1469	1340	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f13254b4723fa4cde6917a54001583c7	868	990	106	222	806	304	386	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	37	0	0	117	157	183	232	147	201	192	80	0	205	98	0	130	213	38	205	111	200	182	302	184	175	133	119	175	158	140	111	57	213	0	140	0	195	156	139	180	0	0	97	263	157	291	280	66	131	149	0
02c942ca1f8743dfecf17cda28294467	245	998	526	247	519	290	484	0	0	0	33	0	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	63	136	65	0	141	86	129	170	290	227	182	200	64	0	164	200	75	132	91	0	181	201	210	219	255	159	127	122	101	153	247	101	89	215	0	206	132	130	57	245	117	0	0	65	0	0	89	235	97	229	203	0
67f705b1a745e630a6eeb07582a5b8c2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4147	0	0	0	0	0	0	0	0	0	3575	0	0	0	0	0	0	0	0	0	0	0	0	1072	0	0	0
